Macrotrends Data Download

Singapore Unemployment Rate 1991-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,2.18
1992-12-31,3.09,0.91
1993-12-31,3.07,-0.02
1994-12-31,3.03,-0.04
1995-12-31,3.3,0.27
1996-12-31,3.57,0.27
1997-12-31,2.5,-1.07
1998-12-31,3.41,0.91
1999-12-31,4.85,1.44
2000-12-31,3.7,-1.15
2001-12-31,3.76,0.06
2002-12-31,5.65,1.89
2003-12-31,5.93,0.28
2004-12-31,5.84,-0.09
2005-12-31,5.59,-0.25
2006-12-31,4.48,-1.11
2007-12-31,3.9,-0.58
2008-12-31,3.96,0.06
2009-12-31,5.86,1.9
2010-12-31,4.12,-1.74
2011-12-31,3.89,-0.23
2012-12-31,3.72,-0.17
2013-12-31,3.86,0.14
2014-12-31,3.74,-0.12
2015-12-31,3.79,0.05
2016-12-31,4.08,0.29
2017-12-31,4.2,0.12
2018-12-31,3.641,-0.56
2019-12-31,3.1,-0.54
2020-12-31,4.1,1
2021-12-31,3.54,-0.56
2022-12-31,2.758,-0.78
